Designator,Mid X,Mid Y,Rotation,Layer
R53,17.989376,39.860624,225.0,bottom
R54,-39.65,32.1,270.0,bottom
R55,-39.2,29.825,0.0,bottom
R56,-39.2,34.075,0.0,bottom
R57,-39.2,35.075,0.0,bottom
R58,-39.2,26.65,0.0,bottom
R59,-39.2,27.65,0.0,bottom
R6,-36.0,0.2,0.0,bottom
R60,-38.525,46.684999,270.0,bottom
R61,-37.8,49.95,90.0,bottom
R62,34.224293,13.264294,90.0,bottom
R63,33.25,13.264294,90.0,bottom
R64,-25.174999,43.297499,270.0,bottom
R65,-0.2,34.12,90.0,bottom
R66,0.8,34.14,90.0,bottom
R67,41.88,3.27,270.0,bottom
R68,41.89,1.34,90.0,bottom
R69,44.215001,17.55,180.0,bottom
R7,-27.99,0.2,0.0,bottom
R70,50.61,14.525,270.0,bottom
R71,49.58,14.525,90.0,bottom
R72,50.62,12.6,90.0,bottom
R73,-25.16,41.06,270.0,bottom
R74,49.57,12.6,270.0,bottom
R75,27.95,10.07,90.0,bottom
R76,-40.23,45.72,180.0,bottom
R77,36.199293,13.264294,270.0,bottom
R78,-40.6146,39.8526,270.0,bottom
R79,35.224293,13.264294,90.0,bottom
R8,-24.0,0.2,0.0,bottom
R80,-36.7538,43.7896,0.0,bottom
R81,-12.94,27.42,90.0,bottom
R9,-40.49,55.12,180.0,bottom
R98,37.55,56.95,90.0,bottom
R99,-18.515001,31.755,0.0,bottom
SW1,54.72,49.23,270.0,bottom
SW2,54.72,39.23,270.0,bottom
SW3,54.72,29.23,270.0,bottom
U1,-30.0,9.2,270.0,bottom
U10,-41.097499,48.374999,90.0,bottom
U11,46.649999,24.7,180.0,bottom
U12,44.74,48.98,180.0,bottom
U13,11.14,32.19,90.0,bottom
U14,38.63,7.86,270.0,bottom
U15,-21.2575,16.94,270.0,bottom
U16,31.47,7.88,180.0,bottom
U17,-54.5,47.0,180.0,top
U18,-54.5,13.25,180.0,top
U19,-54.5,6.25,180.0,top
U2,0.0,-30.8,0.0,top
U20,-42.4282,43.3728,180.0,bottom
U21,-34.345,47.675,0.0,bottom
U22,54.5,13.25,180.0,top
U23,-22.125,42.975,90.0,bottom
U24,-37.8968,39.4208,0.0,bottom
